METHOD;N;K;TIME;RMSE;n;nu_1;nu_2;theta_1;theta_2
NcoK KM+;100;50;32.851369857788086;0.1643345373284208;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1096425056457519;0.163189634389351;5000;0.5;0.5;4;5.0
NcoK KM;10;500;79.7794599533081;0.1683775468748239;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;79.75169801712036;0.1616244569983097;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0698194503784179;0.1731492751427575;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;173.21377086639404;0.1667861190848698;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;174.10471105575562;0.1620351912576234;5000;0.5;0.5;4;5.0
coK;5000;1;3.933915138244629;0.160701725383725;5000;0.5;0.5;4;5.0
coKNN;1000;5;15.832922458648682;0.1859800981585289;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;55.61165642738342;0.1861186861881509;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;55.36813688278198;0.185221352283214;5000;0.5;0.5;4;5.0
coKNN;500;10;4.149348974227905;0.1859762823312054;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.45868754386902;0.1831436388970913;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;31.62074184417725;0.1868725222052996;5000;0.5;0.5;4;5.0
coKNN;100;50;0.546309232711792;0.1859358197076593;5000;0.5;0.5;4;5.0
NcoK KM;100;50;32.85745453834534;0.1865416741063218;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;32.831223011016846;0.1858248053798601;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1131539344787597;0.1841579729462993;5000;0.5;0.5;4;5.0
NcoK KM;10;500;79.64440846443176;0.18385116675751;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;79.69276332855225;0.1835731724278738;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0664362907409668;0.1800319077453874;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;171.89763116836548;0.1807232024518136;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;173.81611824035645;0.1824478607984501;5000;0.5;0.5;4;5.0
coK;5000;1;4.003843784332275;0.1859715920085819;5000;0.5;0.5;4;5.0
coKNN;1000;5;16.497665643692017;0.1578248471087832;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;58.56802010536194;0.1602286301400395;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;57.971996784210205;0.1587465939596667;5000;0.5;0.5;4;5.0
coKNN;500;10;4.429865121841431;0.1578373657690402;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.56731653213501;0.1585578454073468;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;33.199814558029175;0.1577847101065449;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5852346420288086;0.1578995284679375;5000;0.5;0.5;4;5.0
NcoK KM;100;50;33.330912828445435;0.1620844235460938;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;33.54250431060791;0.1556192284355627;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1058759689331054;0.1588598929126354;5000;0.5;0.5;4;5.0
NcoK KM;10;500;85.18850779533386;0.1584204519991879;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;81.47944736480713;0.1588777937161488;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0832388401031494;0.162822450371557;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;172.9299554824829;0.1606737128187986;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;173.21339201927185;0.1641596507278933;5000;0.5;0.5;4;5.0
coK;5000;1;3.916946649551392;0.1578201590600548;5000;0.5;0.5;4;5.0
coKNN;1000;5;15.729819774627686;0.1621688791534166;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;55.90074849128723;0.165081401135852;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;55.59121632575989;0.1601912970314206;5000;0.5;0.5;4;5.0
coKNN;500;10;6.140434980392456;0.1622050903979085;5000;0.5;0.5;4;5.0
NcoK KM;500;10;33.833555698394775;0.1643733495717831;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.353620767593384;0.1603730766979957;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5490806102752686;0.1620151733849804;5000;0.5;0.5;4;5.0
NcoK KM;100;50;32.8100426197052;0.1654776920989005;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;33.03483033180237;0.167725077462472;5000;0.5;0.5;4;5.0
coKNN;10;500;0.111907958984375;0.1650137002366679;5000;0.5;0.5;4;5.0
NcoK KM;10;500;79.63540315628052;0.1689626557717029;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;79.47613477706909;0.1600725774610109;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0749928951263427;0.1668851064525693;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;172.5792999267578;0.1692327390573524;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;173.84992933273315;0.1661710269791142;5000;0.5;0.5;4;5.0
coK;5000;1;3.905611276626587;0.1621624325618436;5000;0.5;0.5;4;5.0
coKNN;1000;5;15.97979974746704;0.1589175672847673;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;56.63645362854004;0.1582790032814939;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.79856991767883;0.1588876001726245;5000;0.5;0.5;4;5.0
coKNN;500;10;4.35016131401062;0.158906857861093;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.38591647148132;0.1562237128191528;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.24636650085449;0.1592776347311572;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5533380508422852;0.158907300292257;5000;0.5;0.5;4;5.0
NcoK KM;100;50;33.14673209190369;0.1646474157028255;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;35.32531929016113;0.1551092147822125;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1070961952209472;0.1646290132619535;5000;0.5;0.5;4;5.0
NcoK KM;10;500;79.51877880096436;0.1632377635031433;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;80.15264511108398;0.1639623019980984;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0827827453613281;0.1764182534101472;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;172.33577179908752;0.1633160645810209;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;172.88111996650696;0.1632566002726658;5000;0.5;0.5;4;5.0
coK;5000;1;3.906528949737549;0.158915394768136;5000;0.5;0.5;4;5.0
coKNN;1000;5;15.76480197906494;0.1841410009704439;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;55.91914248466492;0.180345294410202;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.01270246505737;0.180120192323885;5000;0.5;0.5;4;5.0
coKNN;500;10;4.299915313720703;0.1841542246343502;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.340001344680786;0.1842056627815388;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.5551598072052;0.1845810902678599;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5857796669006348;0.1840201299605285;5000;0.5;0.5;4;5.0
NcoK KM;100;50;32.8555064201355;0.1850009256923846;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;32.98133826255798;0.1862447449603421;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1125063896179199;0.1833550112868824;5000;0.5;0.5;4;5.0
NcoK KM;10;500;79.71512365341187;0.1854862162355166;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;83.07040405273438;0.1829177168014317;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0799295902252197;0.1863376275419009;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;176.1626181602478;0.1885969110835386;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;177.18245100975037;0.1815016146423591;5000;0.5;0.5;4;5.0
coK;5000;1;3.984110593795776;0.1841491938883602;5000;0.5;0.5;4;5.0
coKNN;1000;5;16.112395763397217;0.1804541182168498;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;56.74960446357727;0.1818890668256791;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;55.15008163452149;0.1817529281314616;5000;0.5;0.5;4;5.0
coKNN;500;10;4.201050519943237;0.1804702860978654;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.43306279182434;0.1815529522459711;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.96355152130127;0.1794175142326258;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5523712635040283;0.1805056382107785;5000;0.5;0.5;4;5.0
NcoK KM;100;50;32.7935094833374;0.1813269259250438;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;33.09682583808899;0.1837305965553751;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1035988330841064;0.1828559944321132;5000;0.5;0.5;4;5.0
NcoK KM;10;500;79.73728442192078;0.1803063175729694;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;79.56678986549377;0.1796222827566406;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0693705081939697;0.1791032305178367;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;173.66180562973022;0.1827723045851533;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;172.8271975517273;0.1777500437004381;5000;0.5;0.5;4;5.0
coK;5000;1;3.906681537628174;0.1804483616000117;5000;0.5;0.5;4;5.0
coKNN;1000;5;16.799797296524048;0.1705454795907144;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;55.7833685874939;0.1732265016193412;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.89616894721985;0.1730513777060864;5000;0.5;0.5;4;5.0
coKNN;500;10;4.296399354934692;0.170545976299477;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.50456261634827;0.1712716327785138;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.620964765548706;0.1695448286725415;5000;0.5;0.5;4;5.0
coKNN;100;50;0.564417839050293;0.1706647948349138;5000;0.5;0.5;4;5.0
NcoK KM;100;50;32.78190088272095;0.1695125317303309;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;33.36981201171875;0.1693320437723756;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1171927452087402;0.1722828957435567;5000;0.5;0.5;4;5.0
NcoK KM;10;500;79.76958274841309;0.1769544845114588;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;80.88458776473999;0.1661566040573245;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0813512802124023;0.1659159349422991;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;173.11207175254822;0.1781856913546159;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;175.39864921569824;0.1714117693707983;5000;0.5;0.5;4;5.0
coK;5000;1;3.984827756881714;0.1705506278800067;5000;0.5;0.5;4;5.0
coKNN;1000;5;15.998560190200806;0.1751426685515357;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;56.7295606136322;0.1753658340238846;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;57.33719277381897;0.1741594152839333;5000;0.5;0.5;4;5.0
coKNN;500;10;4.27592396736145;0.1751399757110937;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.31558442115784;0.1805990721240885;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.75149369239807;0.1772226886911158;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5452139377593994;0.1752753680332924;5000;0.5;0.5;4;5.0
NcoK KM;100;50;33.394755125045776;0.1780121003263677;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;34.51552128791809;0.1757582204073234;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1144258975982666;0.1718158761165428;5000;0.5;0.5;4;5.0
NcoK KM;10;500;79.60266923904419;0.1835136833523014;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;79.9843897819519;0.1756173302089685;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.086421251296997;0.1789032810648933;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;180.39670062065125;0.1745924206805644;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;177.43144154548645;0.1767103392007612;5000;0.5;0.5;4;5.0
coK;5000;1;3.969644069671631;0.1751330174006223;5000;0.5;0.5;4;5.0
coKNN;1000;5;16.36965584754944;0.1805456237243658;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;58.86510157585144;0.1791212272290401;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;59.00722599029541;0.18241742489191;5000;0.5;0.5;4;5.0
coKNN;500;10;4.390504837036133;0.1805451608164489;5000;0.5;0.5;4;5.0
NcoK KM;500;10;33.914085149765015;0.1832762401979052;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;34.053507804870605;0.1813440927231634;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5852434635162354;0.1805582302316351;5000;0.5;0.5;4;5.0
NcoK KM;100;50;34.429539918899536;0.1783181392442762;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;35.12012505531311;0.1885459014851312;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1123545169830322;0.1810425299180445;5000;0.5;0.5;4;5.0
NcoK KM;10;500;87.6063334941864;0.189602624633891;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;85.63372373580933;0.1974052575863894;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0837495326995849;0.1879343503875359;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;172.77855563163757;0.193493244732242;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;173.36439681053162;0.1878514439207197;5000;0.5;0.5;4;5.0
coK;5000;1;3.9150447845458975;0.1805435307821198;5000;0.5;0.5;4;5.0
coKNN;1000;5;15.798439264297484;0.1715768885388328;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;56.98399209976196;0.1717077805277129;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.61552882194519;0.171134095130475;5000;0.5;0.5;4;5.0
coKNN;500;10;4.549499273300171;0.1715767410907182;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.43544125556946;0.1716139063763835;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.31786036491394;0.1708141972120659;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5651533603668213;0.171511309660496;5000;0.5;0.5;4;5.0
NcoK KM;100;50;33.30358171463013;0.170792300515914;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;33.083333253860474;0.1725963764875266;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1307401657104492;0.1721526730193149;5000;0.5;0.5;4;5.0
NcoK KM;10;500;80.01667308807373;0.1733929049835229;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;80.59802317619324;0.1749100787852489;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0725183486938476;0.1789045154163884;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;172.70377945899963;0.1747797803912704;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;174.00141620635986;0.1763724065364015;5000;0.5;0.5;4;5.0
coK;5000;1;4.001862049102783;0.1715716210904478;5000;0.5;0.5;4;5.0
coKNN;1000;5;16.349345922470093;0.1764248419830849;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;57.98224306106568;0.1766219453938441;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.36777973175049;0.1763212376696355;5000;0.5;0.5;4;5.0
coKNN;500;10;4.200739622116089;0.1764954957875231;5000;0.5;0.5;4;5.0
NcoK KM;500;10;34.893449783325195;0.1754952187247805;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.70448279380798;0.1781571006862984;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5621068477630615;0.1766921883592592;5000;0.5;0.5;4;5.0
NcoK KM;100;50;33.33680462837219;0.1793300928766552;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;33.39471197128296;0.180877636380469;5000;0.5;0.5;4;5.0
coKNN;10;500;0.13214111328125;0.1758405863925865;5000;0.5;0.5;4;5.0
NcoK KM;10;500;79.89933729171753;0.1801722922099564;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;79.80151724815369;0.1840837302911754;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0679459571838378;0.1816056065663499;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;173.20059204101562;0.1863423578027801;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;173.7303352355957;0.1818907213473485;5000;0.5;0.5;4;5.0
coK;5000;1;3.967085361480713;0.1763999970857753;5000;0.5;0.5;4;5.0
coKNN;1000;5;15.845108270645142;0.1818289683698762;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;55.194159507751465;0.183916144825629;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;55.88455486297608;0.1845452264266408;5000;0.5;0.5;4;5.0
coKNN;500;10;4.317424058914185;0.1818446932370461;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.289427757263184;0.1797894282489008;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.176092863082886;0.1836615112821988;5000;0.5;0.5;4;5.0
coKNN;100;50;0.57830810546875;0.1820007361261745;5000;0.5;0.5;4;5.0
NcoK KM;100;50;33.2726035118103;0.1898864207958159;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;36.08949661254883;0.1889381285326595;5000;0.5;0.5;4;5.0
coKNN;10;500;0.12129807472229;0.1866504506935963;5000;0.5;0.5;4;5.0
NcoK KM;10;500;81.20825219154358;0.1940891315249338;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;81.29578614234924;0.1921451243216859;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0680830478668212;0.198442973705364;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;176.07986640930176;0.1912177822185342;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;179.76629376411438;0.190777983301511;5000;0.5;0.5;4;5.0
coK;5000;1;3.9987998008728014;0.1818307981432377;5000;0.5;0.5;4;5.0
coKNN;1000;5;16.17027187347412;0.1564822316546769;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;55.732224225997925;0.1571543151729892;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.799721240997314;0.1551556565152848;5000;0.5;0.5;4;5.0
coKNN;500;10;4.249758720397949;0.1564857604999023;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.44936513900757;0.158829634369544;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.64289951324463;0.1569159570545199;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5683445930480957;0.1564582612951174;5000;0.5;0.5;4;5.0
NcoK KM;100;50;33.20099902153015;0.1580131296725256;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;33.552072525024414;0.1581263210279639;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1149663925170898;0.1629302465964174;5000;0.5;0.5;4;5.0
NcoK KM;10;500;80.85188508033752;0.1638681241827831;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;81.21632838249207;0.1620998897202892;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.065850019454956;0.1661735556475931;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;173.17892026901245;0.1625793775917063;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;174.0204041004181;0.1671983943783656;5000;0.5;0.5;4;5.0
coK;5000;1;3.954641819000244;0.1564794111071051;5000;0.5;0.5;4;5.0
coKNN;1000;5;16.08736801147461;0.1358509712739203;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;56.52591156959534;0.1361050629756091;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.22063183784485;0.137805336159315;5000;0.5;0.5;4;5.0
coKNN;500;10;4.246246576309204;0.1358511371821211;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.45148491859436;0.1360446043662931;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.251646757125854;0.1358056338841337;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5473718643188477;0.1357598141555031;5000;0.5;0.5;4;5.0
NcoK KM;100;50;32.55268931388855;0.135520187808507;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;32.44884467124939;0.1398537423691221;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1007518768310546;0.1353393477025812;5000;0.5;0.5;4;5.0
NcoK KM;10;500;80.16857385635376;0.1350413151724023;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;80.79719161987305;0.135431019518986;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0679728984832763;0.137905002394058;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;174.6870996952057;0.1436982903284785;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;174.34763407707214;0.1408023026356823;5000;0.5;0.5;4;5.0
coK;5000;1;3.938050985336304;0.1358505864659951;5000;0.5;0.5;4;5.0
coKNN;1000;5;15.870436906814575;0.171655964977228;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;56.01803112030029;0.1720162389927119;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.00128436088562;0.1737430055244487;5000;0.5;0.5;4;5.0
coKNN;500;10;4.232850551605225;0.1716418455229967;5000;0.5;0.5;4;5.0
NcoK KM;500;10;32.25345325469971;0.1735082109623248;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.11567783355713;0.174126050736993;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5512104034423828;0.1716828389017338;5000;0.5;0.5;4;5.0
NcoK KM;100;50;32.28744602203369;0.1722504942135096;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;33.70518398284912;0.173141653066762;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1099915504455566;0.1746190421450374;5000;0.5;0.5;4;5.0
NcoK KM;10;500;79.74724173545837;0.1705708994641453;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;79.63386726379395;0.1756111719246704;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0820386409759521;0.1845322012419879;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;173.03523230552673;0.1824743346491288;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;176.86399173736572;0.1808543166302705;5000;0.5;0.5;4;5.0
coK;5000;1;3.999977827072144;0.1716490474139382;5000;0.5;0.5;4;5.0
coKNN;1000;5;16.37925672531128;0.1988791182029826;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;59.76430010795593;0.1996500310488009;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;58.699284076690674;0.199439543520365;5000;0.5;0.5;4;5.0
coKNN;500;10;4.333300352096558;0.1988816996967662;5000;0.5;0.5;4;5.0
NcoK KM;500;10;33.878403186798096;0.19878610055604;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;34.934059619903564;0.200951017600315;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5867974758148193;0.1988802890081266;5000;0.5;0.5;4;5.0
NcoK KM;100;50;34.95540189743042;0.2057925764558717;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;34.37024450302124;0.2022229281561657;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1140282154083252;0.1973781569547593;5000;0.5;0.5;4;5.0
NcoK KM;10;500;81.62159895896912;0.2077062633901354;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;80.79628944396973;0.20892254371627;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0688471794128418;0.1998471322233305;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;173.08086562156677;0.2020914621336675;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;175.74550533294678;0.2049996588879715;5000;0.5;0.5;4;5.0
coK;5000;1;3.965950965881348;0.1988639979300505;5000;0.5;0.5;4;5.0
coKNN;1000;5;16.19898557662964;0.1459348204291905;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;56.08120775222778;0.1512811665293348;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.15206265449524;0.145441536232286;5000;0.5;0.5;4;5.0
coKNN;500;10;4.201860904693604;0.1459334770812782;5000;0.5;0.5;4;5.0
NcoK KM;500;10;33.46541404724121;0.1495581371904889;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.7812283039093;0.1553102443425238;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5521383285522461;0.1457992454782487;5000;0.5;0.5;4;5.0
NcoK KM;100;50;33.332762241363525;0.1482395506174881;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;32.81729435920715;0.1473898397973708;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1270503997802734;0.1458276797380996;5000;0.5;0.5;4;5.0
NcoK KM;10;500;80.06644320487976;0.1556031149019024;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;79.9297890663147;0.1506900556097211;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0733246803283691;0.1585298328818252;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;173.91329216957092;0.1538445511265813;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;176.42862176895142;0.1495276215318035;5000;0.5;0.5;4;5.0
coK;5000;1;3.9884984493255615;0.1459338634385838;5000;0.5;0.5;4;5.0
coKNN;1000;5;16.06594753265381;0.1609114261119771;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;59.99178624153137;0.1604658445869491;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.60661673545837;0.161975197150253;5000;0.5;0.5;4;5.0
coKNN;500;10;4.2453038692474365;0.1609243296270618;5000;0.5;0.5;4;5.0
NcoK KM;500;10;33.14898896217346;0.1663642784236365;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;32.39602589607239;0.1608595034598225;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5842025279998779;0.1606202275461091;5000;0.5;0.5;4;5.0
NcoK KM;100;50;33.53806233406067;0.1669570788480388;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;33.59886622428894;0.1700070516150948;5000;0.5;0.5;4;5.0
coKNN;10;500;0.1147718429565429;0.1642284470607318;5000;0.5;0.5;4;5.0
NcoK KM;10;500;80.10375642776489;0.1636259012204566;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;80.44742226600647;0.1688463696903839;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0775589942932128;0.1727980730914017;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;172.9711036682129;0.1712401717238445;5000;0.5;0.5;4;5.0
NcoK KM+;5;1000;173.8638813495636;0.1675464581330394;5000;0.5;0.5;4;5.0
coK;5000;1;3.964986562728882;0.1608997149402593;5000;0.5;0.5;4;5.0
coKNN;1000;5;15.935033798217772;0.1601261684620425;5000;0.5;0.5;4;5.0
NcoK KM;1000;5;56.43396854400635;0.1602973599686206;5000;0.5;0.5;4;5.0
NcoK KM+;1000;5;56.32739329338074;0.1605967824778926;5000;0.5;0.5;4;5.0
coKNN;500;10;4.305974960327148;0.1601221387974103;5000;0.5;0.5;4;5.0
NcoK KM;500;10;35.33991241455078;0.1612407987908388;5000;0.5;0.5;4;5.0
NcoK KM+;500;10;33.48928618431091;0.161103947829883;5000;0.5;0.5;4;5.0
coKNN;100;50;0.5683708190917969;0.1601228907785549;5000;0.5;0.5;4;5.0
NcoK KM;100;50;34.580153465271;0.1646043445486465;5000;0.5;0.5;4;5.0
NcoK KM+;100;50;35.80164194107056;0.163060148688636;5000;0.5;0.5;4;5.0
coKNN;10;500;0.0987548828125;0.1649354744038753;5000;0.5;0.5;4;5.0
NcoK KM;10;500;81.89882969856262;0.1694911436190341;5000;0.5;0.5;4;5.0
NcoK KM+;10;500;81.95351719856262;0.1604285347633601;5000;0.5;0.5;4;5.0
coKNN;5;1000;0.0785222053527832;0.1727439621969285;5000;0.5;0.5;4;5.0
NcoK KM;5;1000;176.62048029899597;0.1677174565016974;5000;0.5;0.5;4;5.0
