METHOD;N;K;TIME;RMSE;a
coKNN;5;200;0.0317065715789794;0.3984084262217921;[0.1 0.1]
NcoK;5;200;4.814132213592529;0.3934263490742004;[0.1 0.1]
coK;1000;1;0.0716404914855957;0.3804999546411568;[0.1 0.1]
coKNN;100;10;0.4532394409179687;0.4031100598968844;[0.1 0.1]
NcoK;100;10;3.9668920040130615;0.4144039519072338;[0.1 0.1]
coKNN;50;20;0.1826093196868896;0.413673444985635;[0.1 0.1]
NcoK;50;20;3.5475802421569824;0.4163724427324534;[0.1 0.1]
coKNN;20;50;0.0678982734680175;0.4275680850792031;[0.1 0.1]
NcoK;20;50;2.9193813800811768;0.4379047664069187;[0.1 0.1]
coKNN;10;100;0.031620979309082;0.4228890373251969;[0.1 0.1]
NcoK;10;100;3.022120952606201;0.4271401100954058;[0.1 0.1]
coKNN;5;200;0.0317058563232421;0.4304876336623675;[0.1 0.1]
NcoK;5;200;4.934499979019165;0.4302051366748938;[0.1 0.1]
coK;1000;1;0.0869293212890625;0.4034365605475772;[0.1 0.1]
coKNN;100;10;0.4465022087097168;0.4169473341113415;[0.1 0.1]
NcoK;100;10;3.9507901668548575;0.4324334133228871;[0.1 0.1]
coKNN;50;20;0.1839749813079834;0.4244047553241248;[0.1 0.1]
NcoK;50;20;3.4697656631469727;0.4300870100505452;[0.1 0.1]
coKNN;20;50;0.0848088264465332;0.4359427222977595;[0.1 0.1]
NcoK;20;50;2.89828896522522;0.412034764912748;[0.1 0.1]
coKNN;10;100;0.0527164936065673;0.4367301814533938;[0.1 0.1]
NcoK;10;100;3.016774654388428;0.4491061809770645;[0.1 0.1]
coKNN;5;200;0.0364208221435546;0.4579626073092608;[0.1 0.1]
NcoK;5;200;4.932740688323975;0.4386558389703331;[0.1 0.1]
coK;1000;1;0.0835309028625488;0.4171178991350105;[0.1 0.1]
coKNN;100;10;0.4789574146270752;0.3651894930336625;[0.1 0.1]
NcoK;100;10;6.1189353466033936;0.374960935465769;[0.1 0.1]
coKNN;50;20;0.184277057647705;0.3571861397920497;[0.1 0.1]
NcoK;50;20;4.850378036499023;0.3733245286094086;[0.1 0.1]
coKNN;20;50;0.0783376693725586;0.3800607955108882;[0.1 0.1]
NcoK;20;50;2.897972345352173;0.3824565089520595;[0.1 0.1]
coKNN;10;100;0.0470063686370849;0.3808789842611592;[0.1 0.1]
NcoK;10;100;3.045961618423462;0.3813191249046265;[0.1 0.1]
coKNN;5;200;0.019759178161621;0.3997897807975851;[0.1 0.1]
NcoK;5;200;5.081760406494141;0.3906947194072426;[0.1 0.1]
coK;1000;1;0.08046555519104;0.3644438994124023;[0.1 0.1]
coKNN;100;10;0.6149587631225586;0.4203264901121111;[0.1 0.1]
NcoK;100;10;4.446736812591553;0.4318511085147116;[0.1 0.1]
coKNN;50;20;0.1827759742736816;0.437996740969769;[0.1 0.1]
NcoK;50;20;3.4885194301605225;0.4095069152057153;[0.1 0.1]
coKNN;20;50;0.0670881271362304;0.4468432559632972;[0.1 0.1]
